Date,Open,High,Low,Close,Volume,Label
1996-10-31,1.7696754164904864,1.7696754164904864,1.7101905285412262,1.7585220000000001,12772000,Hold
1996-11-01,1.765957819634703,1.7808290433789953,1.5912209406392692,1.628399,65710400,Hold
1996-11-04,1.6544236415525113,1.6581414474885843,1.6135277762557076,1.628399,26155200,Hold
1996-11-05,1.635833425925926,1.6395512291666667,1.535452738425926,1.606091,52776000,Buy
1996-11-06,1.6209621655480988,1.6767292125279645,1.6135265592841166,1.6618580000000003,30355200,Hold
1996-11-07,1.6655765853658535,1.7027546341463413,1.6655765853658535,1.6767299999999998,18374400,Hold
1996-11-08,1.673011555075594,1.7324964103671707,1.6581403412526998,1.721343,10179200,Sell
1996-11-11,1.7250610196078433,1.747367843137255,1.6953185882352944,1.7064720000000002,13295200,Hold
1996-11-12,1.7139078488888888,1.7213434577777778,1.658140782222222,1.673012,12193600,Hold
1996-11-13,1.6804472325056432,1.6804472325056432,1.6432691963882617,1.646987,9078400,Hold
1996-11-14,1.646987436781609,1.646987436781609,1.6098093908045976,1.617245,13043200,Hold
1996-11-15,1.632116173033708,1.6655764134831461,1.628398368539326,1.654423,13841600,Hold
1996-11-18,1.6730120224719103,1.6916010449438204,1.643269586516854,1.654423,7896000,Hold
1996-11-19,1.6507058356164384,1.6507058356164384,1.6172455821917808,1.628399,9620800,Hold
1996-11-20,1.6321156393442622,1.6321156393442622,1.5726307868852458,1.587502,19510400,Hold
1996-11-21,1.6135264225352113,1.6172442253521127,1.565194985915493,1.583784,13453600,Buy
1996-11-22,1.5912199285714284,1.665576,1.5912199285714284,1.665576,12428000,Hold
1996-11-25,1.691601244394619,1.691601244394619,1.6358341704035875,1.658141,9857600,Hold
1996-11-26,1.6767298269662922,1.6841654359550562,1.650705195505618,1.654423,11151200,Hold
1996-11-27,1.6544223937360183,1.6655758031319914,1.632115574944072,1.6618580000000003,7745600,Hold
1996-11-29,1.684165391208791,1.6990366087912088,1.6730119780219779,1.691601,4118400,Hold
1996-12-02,1.6953187826086957,1.71019,1.6730119565217392,1.71019,6196000,Sell
1996-12-03,1.7176258789237668,1.7399327085201794,1.6432697802690583,1.658141,14370400,Hold
1996-12-04,1.658140739130435,1.71019,1.6321161086956524,1.71019,14949600,Hold
1996-12-05,1.710190021978022,1.7250612395604394,1.6804475868131867,1.691601,7948000,Hold
1996-12-06,1.6172457126948774,1.6767306124721604,1.6172457126948774,1.669295,8372800,Hold
1996-12-09,1.6767299758771927,1.7027546096491226,1.6730121710526313,1.6953189999999998,7147200,Hold
1996-12-10,1.7027540357142856,1.7027540357142856,1.6618581964285712,1.665576,8819200,Hold
1996-12-11,1.6283978032036612,1.6507046224256292,1.613526590389016,1.62468,15811200,Hold
1996-12-12,1.6283986357308584,1.6469876612529002,1.602374,1.602374,14439200,Hold
1996-12-13,1.622752973621103,1.622752973621103,1.5548237793764987,1.573693,16056800,Buy
1996-12-16,1.5774659481132074,1.660490471698113,1.5736921061320754,1.600109,15107200,Hold
1996-12-17,1.5812403135391921,1.622752589073634,1.5774664703087884,1.5887879999999999,14852800,Hold
1996-12-18,1.618978741525424,1.7831410423731529,1.611431055084746,1.7812540000000001,10237600,Hold
1996-12-19,1.7963497166324434,1.8605050636550307,1.7925758726899383,1.8378619999999999,37416800,Hold
1996-12-20,1.864277682926829,1.8718253658536583,1.845408475609756,1.85673,16568000,Hold
1996-12-23,1.8529575327868852,1.886922131147541,1.8340883114754098,1.841636,8096000,Hold
1996-12-24,1.841635935222672,1.8793743765182185,1.8340882469635627,1.864279,4056000,Hold
1996-12-26,1.8756003126252505,1.883148,1.852957250501002,1.883148,4151200,Sell
1996-12-27,1.8906952137096773,1.8944690564516127,1.8605044717741934,1.8718259999999998,3163200,Hold
1996-12-30,1.8718260571428573,1.8718260571428573,1.8340876285714287,1.8491830000000002,5312000,Hold
1996-12-31,1.85295728125,1.85295728125,1.7925757812499998,1.811445,8338400,Hold
1997-01-02,1.8038968427672954,1.807670685534591,1.7472892012578616,1.800123,11778400,Hold
1997-01-03,1.82654,1.8605045867768595,1.8189923140495867,1.82654,5774400,Hold
1997-01-06,1.868051574074074,1.886920781893004,1.8265393168724278,1.8340869999999998,10281600,Hold
1997-01-07,1.8227653653444678,1.8303130480167016,1.8001223173277663,1.80767,8089600,Hold
1997-01-08,1.8114453781512605,1.8454099789915965,1.7925761554621849,1.79635,12529600,Buy
1997-01-09,1.8076709402061855,1.837861686597938,1.8076709402061855,1.830314,10835200,Hold
1997-01-10,1.796349868852459,1.8529575327868852,1.796349868852459,1.841636,9521600,Hold
1997-01-13,1.8529564199584199,1.868051787941788,1.8076703160083158,1.815218,10945600,Hold
1997-01-14,1.8303131097560974,1.8718253658536583,1.8303131097560974,1.85673,11922400,Hold
1997-01-15,1.8491834685598376,1.8642788438133873,1.8416357809330628,1.8605049999999999,9804000,Hold
1997-01-16,1.868052,1.894468896969697,1.8642781575757577,1.868052,13860800,Hold
1997-01-17,1.8680522965116275,1.9548506860465114,1.8680522965116275,1.9473029999999998,20928000,Hold
1997-01-20,1.9510766741573036,2.0303273707865173,1.9435289887640452,2.015232,15778400,Hold
1997-01-21,1.992589156899811,2.0152322155009452,1.981267627599244,1.996363,11376000,Hold
1997-01-22,2.0039095896487984,2.0491956820702404,1.992588066543438,2.041648,10971200,Sell
1997-01-23,2.060517627118644,2.0944822033898305,2.0001361581920905,2.00391,17328000,Hold
1997-01-24,1.996363,2.0378752741020794,1.977493784499055,1.996363,9737600,Hold
1997-01-27,1.9888148961538459,1.9925887384615382,1.9586241576923076,1.9623979999999999,6282400,Buy
1997-01-28,1.9925887384615382,2.0114579499999996,1.9510764730769228,1.9623979999999999,6722400,Hold
1997-01-29,1.9699462528301888,2.000137,1.9699462528301888,2.000137,4300000,Hold
1997-01-30,2.0190053672316384,2.0227792090395478,1.9812669491525423,2.00391,8577600,Hold
1997-01-31,2.034100272394881,2.064291,2.011457226691042,2.064291,7751200,Sell
1997-02-03,2.0567445295202953,2.075613745387454,2.0416491568265682,2.045423,8217600,Hold
1997-02-04,2.0227792090395478,2.0227792090395478,1.992588474576271,2.00391,6952800,Hold
1997-02-05,2.0039105862068967,2.019005957854406,1.9057906704980843,1.969946,9160800,Hold
1997-02-06,1.9623975733855188,1.977492939334638,1.9133376340508808,1.928433,8655200,Buy
1997-02-07,1.9737189999999998,1.9737189999999998,1.939754428298279,1.9737189999999998,8605600,Hold
1997-02-10,1.9850415092250924,2.060518372693727,1.9774938228782288,2.045423,11100000,Hold
1997-02-11,2.0529706277372264,2.0718398430656935,2.0378752554744524,2.068066,6984800,Hold
1997-02-12,2.0680654736842103,2.15109,2.0680654736842103,2.15109,13146400,Hold
1997-02-13,2.14354295709571,2.2944966864686474,2.135995270627063,2.2869490000000003,20280000,Sell
1997-02-14,2.2416627846410684,2.268079686143573,2.219019726210351,2.260532,17065600,Hold
1997-02-18,2.2227933592715234,2.2907225281456953,2.1850549321192054,2.279401,11239200,Hold
1997-02-19,2.2756265757575758,2.3058173097643095,2.222792791245791,2.241662,11107200,Hold
1997-02-20,2.2190184771573604,2.2567568866328256,2.1963754314720814,2.23034,12408800,Hold
1997-02-21,2.222793843537415,2.230341530612245,2.20392462585034,2.21902,8203200,Hold
1997-02-24,2.188829156626506,2.219019903614458,2.1699599397590363,2.192603,8005600,Hold
1997-02-25,2.207696753355705,2.2567566812080537,2.17750602852349,2.249209,8991200,Hold
1997-02-26,2.2416619499999997,2.271852683333333,2.1888281666666662,2.264305,11241600,Sell
1997-02-27,2.264305902192243,2.2869489612141654,2.237889,2.237889,6457600,Hold
1997-02-28,2.196376904347826,2.211472278260869,2.158638469565217,2.1699599999999997,9372000,Hold
1997-03-03,2.1359951569664903,2.151090529100529,2.102030569664903,2.139769,11350400,Hold
1997-03-04,2.1661858429319367,2.2076981151832458,2.1586381570680624,2.162412,7558400,Hold
1997-03-05,2.173733528795811,2.1888289005235597,2.151090471204188,2.162412,4572000,Hold
1997-03-06,2.1699593695271453,2.1850547390542907,2.1510901576182135,2.154864,6551200,Hold
1997-03-07,2.1510905474452553,2.1661859197080293,2.060518313868613,2.068066,9776000,Hold
1997-03-10,2.0680650970149252,2.0680650970149252,2.0114574757462687,2.022779,21879200,Hold
1997-03-11,1.9020162711864406,2.030326892655367,1.9020162711864406,2.00391,65299200,Hold
1997-03-12,2.0076842125237193,2.0303272675521824,1.9133381499051236,1.9888150000000002,19391200,Hold
1997-03-13,2.007684488372093,2.015232174418604,1.9435291569767439,1.9473029999999998,13781600,Buy
1997-03-14,1.9699454742857143,1.9925885257142857,1.9661716323809524,1.981267,10773600,Hold
1997-03-17,1.9850408419047618,1.9850408419047618,1.9322070552380952,1.981267,8556800,Hold
1997-03-18,1.9942561717557252,2.020999070610687,1.9789745152671756,2.001897,10819200,Hold
1997-03-19,2.0057173076923074,2.120329725274725,1.982794824175824,2.085946,20067200,Sell
1997-03-20,2.0935883333333334,2.1317925,2.0477433333333335,2.063025,15308000,Hold
1997-03-21,2.108869471264368,2.1203307183908047,1.9827957528735631,1.994257,31067200,Hold
1997-03-24,2.0133589864077672,2.0133589864077672,1.9331302601941749,1.967514,20025600,Hold
1997-03-25,1.9751549214559385,2.009538662835249,1.9675140900383141,1.994257,17813600,Hold
1997-03-26,1.9904365842911877,2.009538662835249,1.9751549214559385,1.994257,11981600,Hold
1997-03-27,1.9904359744597249,1.9942563889980354,1.9407705854616897,1.944591,9844800,Hold
1997-03-31,1.9254897454545457,1.9254897454545457,1.8758243353535355,1.8911060000000002,14300000,Hold
1997-04-01,1.887284925851703,1.910207414829659,1.8414399478957912,1.9063869999999998,16017600,Hold
1997-04-02,1.9178483967280167,1.9331300572597139,1.8490809243353785,1.8681830000000001,14578400,Hold
1997-04-03,1.8529018259023353,1.8605426581740976,1.772673087048832,1.799416,21554400,Hold
1997-04-04,1.74974978435518,1.8223376575052856,1.74974978435518,1.8070560000000002,20128000,Hold
1997-04-07,1.8414409248291572,1.8414409248291572,1.5663709111617312,1.6771630000000002,108052800,Hold
1997-04-08,1.7344686484018264,1.7344686484018264,1.6122153515981734,1.6733419999999999,60657600,Buy
1997-04-09,1.703904926829268,1.7268274146341462,1.6504191219512194,1.723007,33796800,Hold
1997-04-10,1.7230070739910313,1.7344683183856502,1.7000845852017936,1.703905,14685600,Hold
1997-04-11,1.7039054954545456,1.7230075750000002,1.6771625840909092,1.6809830000000001,12316800,Hold
1997-04-14,1.7153667522123892,1.7306484159292033,1.6886238407079643,1.7268279999999998,11925600,Hold
1997-04-15,1.780312586723769,1.7917738265524628,1.7268268008565313,1.7841330000000002,19558400,Sell
1997-04-16,1.7803138318965517,1.8070567435344829,1.7573913362068965,1.772673,15995200,Hold
1997-04-17,1.776493302540416,1.791774965357968,1.6122154272517324,1.6542400000000002,57412800,Hold
1997-04-18,1.665700882494005,1.6771621270983215,1.570190510791367,1.593113,48961600,Buy
1997-04-21,1.6122158333333334,1.6351383333333334,1.6007545833333334,1.604575,15800000,Hold
1997-04-22,1.616035171764706,1.6313168282352941,1.5969331011764707,1.6236760000000001,13605600,Hold
1997-04-23,1.631317671264368,1.6618810000000002,1.627497255172414,1.6618810000000002,15935200,Hold
1997-04-24,1.6695215844748859,1.6848032465753424,1.6580603378995433,1.6733419999999999,15203200,Hold
1997-04-25,1.6886240846325165,1.726828249443207,1.6848036681514476,1.7153669999999999,17400000,Hold
1997-04-28,1.6733425854800938,1.6886242529274007,1.5969342482435598,1.631318,25024000,Hold
1997-04-29,1.650419506849315,1.6733419999999999,1.6313174292237442,1.6733419999999999,14053600,Hold
1997-04-30,1.6771624288888887,1.7459299088888889,1.6695215977777778,1.7191869999999998,17342400,Hold
1997-05-01,1.7306480934782609,1.7612114152173912,1.7230072630434783,1.757391,16620800,Hold
1997-05-02,1.757391409395973,1.757391409395973,1.688623919463087,1.7077259999999999,18538400,Hold
1997-05-05,1.7230071170212766,1.8185174893617022,1.7153662872340425,1.795595,18021600,Sell
1997-05-06,1.7994152435897437,1.8223377307692308,1.7726723418803418,1.787954,19728000,Hold
1997-05-07,1.7803136623376623,1.791774909090909,1.7573911688311687,1.765032,10238400,Hold
1997-05-08,1.7497503244444443,1.7650319866666666,1.7115461688888889,1.7191869999999998,13827200,Hold
1997-05-09,1.7268276607142858,1.7344684910714285,1.6886235089285715,1.711546,17100800,Hold
1997-05-12,1.7115461688888889,1.7191869999999998,1.6962645066666666,1.7191869999999998,20164800,Hold
1997-05-13,1.711546502202643,1.7382894162995592,1.7077260859030836,1.7344689999999998,15238400,Hold
1997-05-14,1.7421091703056768,1.7994153930131005,1.723007096069869,1.74975,26992000,Hold
1997-05-15,1.742109751633987,1.7612118322440087,1.7344689193899783,1.753571,15570400,Sell
1997-05-16,1.7421103486238532,1.7421103486238532,1.642779495412844,1.665702,55036000,Buy
1997-05-19,1.6962650000000001,1.7000854166666668,1.6733425000000002,1.6962650000000001,19595200,Hold
1997-05-20,1.707725920353982,1.7306484159292033,1.700085088495575,1.7268279999999998,18668800,Hold
1997-05-21,1.7344685846153844,1.7421094153846153,1.7039052615384616,1.738289,19121600,Hold
1997-05-22,1.745929736607143,1.7612113973214285,1.6809826785714286,1.711546,26205600,Hold
1997-05-23,1.7153669999999999,1.734469082405345,1.6771628351893093,1.7153669999999999,23476800,Hold
1997-05-27,1.7191871101871103,1.8414404158004158,1.7191871101871103,1.83762,31323200,Hold
1997-05-28,1.8605416484375001,2.03246028125,1.8567212343750001,1.9560520000000001,50995200,Sell
1997-05-29,1.6580602618510156,1.7191869074492099,1.6504194311512415,1.6924439999999998,157445600,Hold
1997-05-30,1.6962643565217392,1.7612114152173912,1.6771622804347825,1.757391,58500800,Hold
1997-06-02,1.7650315609756095,1.7650315609756095,1.7077253414634146,1.723007,21775200,Hold
1997-06-03,1.723007322799097,1.723007322799097,1.6886235846501128,1.6924439999999998,20666400,Hold
1997-06-04,1.6962650000000001,1.7230079166666668,1.6809833333333335,1.6962650000000001,22621600,Hold
1997-06-05,1.7039050748299318,1.7191867346938774,1.677162170068027,1.6848029999999998,19127200,Buy
1997-06-06,1.6848029260089685,1.703905,1.677162096412556,1.703905,15915200,Hold
1997-06-09,1.7306477565789473,1.7535702434210525,1.6962640263157893,1.742109,16161600,Hold
1997-06-10,1.7573909247311827,1.7994154903225807,1.749750094623656,1.776493,15350400,Hold
1997-06-11,1.7764935031847133,1.803236416135881,1.772673087048832,1.799416,18057600,Hold
1997-06-12,1.8032356581196582,1.8108764871794873,1.765031512820513,1.787954,16356000,Hold
1997-06-13,1.8032361687763714,1.829979078059072,1.7994157531645572,1.810877,16402400,Hold
1997-06-16,1.8279171193415635,1.8898804115226335,1.816299002057613,1.882135,18450400,Hold
1997-06-17,1.8472805887265134,1.9247347014613778,1.8356624718162837,1.8550259999999998,30969600,Hold
