Date,Open,High,Low,Close,Volume,Label
1996-10-31,4.009567,4.049397135761589,3.9431834403973505,4.009567,4444800,Hold
1996-11-01,4.022843289473684,4.0759501315789475,3.9962898684210524,4.0361199999999995,5345600,Hold
1996-11-04,4.049398003355704,4.075951432885906,3.9431842852348993,3.956461,4344800,Hold
1996-11-05,3.956459710437711,3.983013131313132,3.9033528686868695,3.9431830000000008,9633600,Buy
1996-11-06,3.9830140186915886,4.3282085669781925,3.9830140186915886,4.261825,16116000,Hold
1996-11-07,4.540634771830986,4.779615549295775,4.527358061971831,4.713232,26131200,Sell
1996-11-08,4.646849425287356,4.660126137931035,4.567189149425287,4.620296,15860000,Hold
1996-11-11,4.633573852272727,4.7530642954545455,4.633573852272727,4.673404,9042400,Hold
1996-11-12,4.660127717142857,4.6999578685714285,4.580467414285715,4.646851,9847200,Hold
1996-11-13,4.68667858028169,4.766338839436619,4.66012516056338,4.713232,4984000,Hold
1996-11-14,4.7265104322766565,4.739787146974063,4.56718985590778,4.6070199999999994,5008000,Hold
1996-11-15,4.660126137931035,4.660126137931035,4.567189149425287,4.620296,3370400,Hold
1996-11-18,4.633572575498576,4.673402712250712,4.620295863247863,4.660126,2111200,Hold
1996-11-19,4.407871235294117,4.56719188235294,4.407871235294117,4.514085,15438400,Hold
1996-11-20,4.527361720588234,4.5937453235294115,4.514085,4.514085,5372800,Hold
1996-11-21,4.514084154302671,4.514084154302671,4.44770056379822,4.474254,6060800,Buy
1996-11-22,4.567190272727272,4.7265108636363635,4.514083409090909,4.673404,5603200,Hold
1996-11-25,4.660125880886427,4.84599984764543,4.64684916897507,4.792893,5976000,Sell
1996-11-26,4.806169834757835,4.819446547008547,4.607019150997151,4.660126,5679200,Hold
1996-11-27,4.660127005813953,4.660127005813953,4.553913284883721,4.56719,5535200,Hold
1996-11-29,4.540635860869566,4.593742713043478,4.527359147826087,4.580466,1600000,Hold
1996-12-02,4.580466,4.580466,4.50080572173913,4.580466,5141600,Hold
1996-12-03,4.673404148997134,4.739787730659025,4.633573999999999,4.633573999999999,8294400,Hold
