timestamp,close,rsi,williamsR,smaShort,smaLong,emaShort,emaLong,wmaShort,wmaLong,hmaShort,hmaLong,tripleEma,cci,cmo,macd,ppo,roc,cmfi,dmi,psi
2016-08-30T00:00+06:00[Asia/Almaty],56.249408999999999991814547684044,0.3420750719974277,0.03917708978933365,-0.05732703194564466,0.19310408699993276,-0.04440389191833662,0.088179718885957,-0.12289968670763719,0.06328282405583054,-0.12021064243701847,-0.3072426259801973,-0.18315097416768364,0.44470967785675264,0.2894754285953515,0.745774975082755,1.3376313032725022,4.6742444668566625,0.017409100026408098559909011214600,-0.8785594139012832,58.307068849573604
2016-08-31T00:00+06:00[Asia/Almaty],55.900268999999994434801919851452,0.1272725647051891,-0.2809532506468537,-0.13272084313822122,0.12337819395411471,-0.09065598242851224,0.02432667471237719,-0.16764145051765747,-0.008546438902078835,-0.05730427668391904,-0.3174110508540814,-0.22038566867844794,0.14576796886444876,0.26685205325629135,0.6427561464510471,1.1526305382255875,4.952664229335814,0.028086414612851803816688447106987,-0.9169977574687475,58.209084272397895
2016-09-01T00:00+06:00[Asia/Almaty],56.931141000000003771219780901447,0.28399959238339245,0.1677532127253164,0.024877568031411418,0.2831322545896689,0.07789611090630066,0.1897774687777425,0.008658980522201216,0.15029530683116563,0.1558679321431875,-0.07972690247532048,-0.049148362433911574,0.42188266649998984,0.33012543612871215,0.6369533360250538,1.1404568807217763,7.220010902209031,0.074995506441892772701288609665383,-0.95022249756286,53.40783999078832
2016-09-02T00:00+06:00[Asia/Almaty],56.580073999999996203769114799798,0.19698757498156816,-0.017409063726935292,-0.05816962463970381,0.2037824577334684,0.013819066145958616,0.11935850081951001,-0.047640356069433426,0.07267328424790988,0.07743342712908138,-0.09227547265747771,-0.10939515871184764,0.5514727707162912,0.223306163471922,0.597142902374773,1.0681435479903345,6.481035598042843,0.072108215333285107908451545243545,-0.7320691935752739,58.509077869573495
2016-09-06T00:00+06:00[Asia/Almaty],55.985213999999999145984475035220,0.09997183309625757,-0.3733066077641243,-0.1725124244412106,0.08485313914931426,-0.07808913255527411,0.013308950693345275,-0.12900871950280943,-0.040192383694008904,-0.03661633137899789,-0.14238363333676216,-0.19186042551564114,0.09112108937637423,0.15015887711775192,0.5116941249863792,0.9151988661446099,3.3618438124229324,0.0087004098316565463407941900043540,-0.9731373338357107,58.43323801564071
2016-09-07T00:00+06:00[Asia/Almaty],56.287514000000001601620169822127,0.13446815114757404,-0.33568917065499626,-0.10552135949724085,0.12068002259858993,-0.02027667172810013,0.0619850719350572,-0.056474145061179704,0.0034999665459459987,0.014411125786164504,-0.03885765812003326,-0.12580595927606605,-0.07278183189118667,0.19329536398108677,0.46303090481044257,0.8277482400519552,3.6786397115348257,0.052375226224829055246657470197432,-0.9690653274529012,54.71708517293436
2016-09-08T00:00+06:00[Asia/Almaty],54.775981999999991955974110169336,-0.0730842796072928,-0.9691381230048122,-0.35222742941118657,-0.1625658247862677,-0.2511250528652647,-0.19653001274226567,-0.27484492691031653,-0.2610967526906424,-0.17235819537489033,-0.2436776606436096,-0.33733016748459876,-0.8420735084350395,0.10670385418669018,0.29904969350666877,0.5354276411168671,1.2743720657767228,0.017844417458213090710778315087523,-0.7300055616292737,58.509077869573495
2016-09-09T00:00+06:00[Asia/Almaty],53.956832999999996047790773445740,-0.3573675798465551,-0.974618973526405,-0.44971804899421586,-0.3229749774801827,-0.34417573585802225,-0.32530487432752003,-0.35246536563394804,-0.39340589878146526,-0.16780822153118563,-0.30184471318556755,-0.40300910138545737,-1.4905018954007667,-0.0919012980033459,0.1018211924167418,0.18276323808531605,0.9179716541512293,-0.0013336050577218149442223574131115,-0.5418513878867484,58.32464755949929
2016-09-12T00:00+06:00[Asia/Almaty],54.619953000000002418801159365103,-0.2443524350553028,-0.580041017418583,-0.2651434906946911,-0.20809512174480865,-0.1849616549831674,-0.18513823073546104,-0.17711049518986005,-0.25258295631047395,0.07366457577630485,-0.08914490802563796,-0.22389932519679098,-1.3283673911561704,-0.010576487080760066,-9.644559291177429E-4,-0.0017336608329972766,-0.7230122765134381,-0.0085563638026064444072237889141103,-0.47599399721998725,53.89832011771841
2016-09-13T00:00+06:00[Asia/Almaty],53.995837999999999112787918420509,-0.42586133504300894,-0.8336012225179761,-0.3304543429192939,-0.32488623688708407,-0.25611833826299435,-0.2804295607155739,-0.23569818046403493,-0.3469336853559914,0.04355240340039836,-0.11828755513207252,-0.2721516333584538,-1.3624996996862666,-0.08659165291759256,-0.13127048291314908,-0.2364806091904991,-1.3705995133286848,-0.025183723976374401163612584103479,-0.47599399721998725,58.509077869573495
2016-09-14T00:00+06:00[Asia/Almaty],53.761794999999992228367773350328,-0.5375306404842876,-0.9181847685747686,-0.32183447681884064,-0.3660524670410983,-0.2544948470140819,-0.3010960135939813,-0.22249969899867142,-0.36458222981050303,0.0433136868952295,-0.0815664343792216,-0.24761840009663522,-1.4020703286445888,-0.11322984565725475,-0.2505362364429389,-0.45239037203809457,-2.351639476853309,-0.031715236669502970764527613734984,-0.4338212456585008,58.311385058279214
2016-09-15T00:00+06:00[Asia/Almaty],54.093361000000001581611286383122,-0.41907622494301155,-0.6979403771460091,-0.2159391765901423,-0.30256085329100596,-0.162156736801485,-0.22032898513417531,-0.12006126185221042,-0.27864396527308694,0.10259389146493311,0.0426985014414545,-0.1386046332331021,-1.2447935684909484,-0.08278579903387635,-0.3146732429241929,-0.5691817593866602,-1.939414179060373,-0.016520285261370097282536614251244,-0.4064888992096065,53.566757587216436
2016-09-16T00:00+06:00[Asia/Almaty],53.810555000000007908056431915611,-0.4226817572179068,-0.8306650204129238,-0.23186078456168915,-0.35916936885194667,-0.18240100625129796,-0.2537433362563544,-0.13176658752410417,-0.30624153321029224,0.042742089457275305,0.04183452101826699,-0.14159641804834466,-1.1411306137257546,-0.1324148730995918,-0.38389703725652313,-0.6957686345902176,-2.4177923262404413,-0.045657442504518153023800869391430,-0.4064888992096065,57.711285407100995
