timestamp,close,rsi,williamsR,smaShort,smaLong,emaShort,emaLong,wmaShort,wmaLong,hmaShort,hmaLong,tripleEma,cci,cmo,macd,ppo,roc,cmfi,dmi,psi
1997-09-23T00:00+07:00[Asia/Almaty],34.901291000000000508407538291067,-0.2440186957925904,-0.050504749765700074,0.2284938399556614,-0.0655793131637369,0.1511786486077831,-0.01859207509026051,0.24577470831622314,0.0745070366131079,0.17029201011504164,0.39304282656756306,0.3724666543900575,-0.1596254978968294,-0.06622479961531769,-0.5925217431065978,-1.6945567044310765,-2.471874865257569,-0.043111902192318305423699083122388,-0.9006972772045736,33.051688138424815
1997-09-24T00:00+07:00[Asia/Almaty],35.142544000000000892214302439243,-0.13265348720914005,0.13978148929961565,0.3012957030088661,0.013202111071718385,0.1851305491243719,0.046467961627750194,0.26726422012545864,0.1423845917537107,0.11865326518742096,0.36373192401380006,0.38326479260251745,0.2837413632488476,0.013792514369846914,-0.4872956082253926,-1.393099323557301,-1.576554398122848,-0.056341097682075078985740075865526,-0.9362762882577921,33.13934303805023
1997-09-25T00:00+07:00[Asia/Almaty],34.901291000000000508407538291067,-0.09574637245374551,0.382357130476241,0.23233388415345502,-0.033675809607421746,0.09924189458916712,-0.020680748677496797,0.16394821127875228,0.07838006945174715,-0.052782119466901346,0.19517910143708686,0.2814271363839919,0.1189029750573943,-0.06049881530104778,-0.41854550701390253,-1.1967514610471042,-0.2299058170845541,-0.041150694512504588786914225418880,-0.9584328372770256,37.43443311969533
1997-09-26T00:00+07:00[Asia/Almaty],35.102336999999998568000592058524,-0.03743202567995629,0.704919497319342,0.2625046019015774,0.04273562710697581,0.13195578285839818,0.0339925444889259,0.17593308125587986,0.13344308312218736,-0.05684882441281933,0.15077374874445737,0.2934975599640243,0.21283416728204085,-0.03180106184573923,-0.3438738606856538,-0.9829737616270758,-1.3559395479750012,-0.044037186768788393644788860650633,-0.958433366314741,33.011474834340994
1997-09-29T00:00+07:00[Asia/Almaty],35.383789000000000157797330757603,0.07777712685173133,0.934419562048996,0.2897700083315921,0.1324279188546356,0.1780720716895732,0.10487481397247932,0.20177488623392004,0.20289181248003377,-0.01283812848956377,0.13744030436719454,0.3158044241707926,0.32371458208179066,0.02857186507020742,-0.25899963224402683,-0.7397304868911863,-0.22674695382271706,-0.010682711381681635770710707474250,-0.9849264689279246,33.06052963532008
1997-09-30T00:00+07:00[Asia/Almaty],35.021927000000005136826075613499,0.1479290027906257,0.6393520108388413,0.16647718061506683,0.03886156587206065,0.06480487479485482,0.0024389029884812076,0.07139074358348352,0.09940659742368282,-0.10753617932623066,-0.030249688668018315,0.1882775336819741,0.3226968637853265,-0.16465899234472153,-0.21841765118868875,-0.6238118597246329,-0.11461944038458761,-0.014827795842716111106743191894482,-0.9849327178733512,35.46421488329519
1997-10-01T00:00+07:00[Asia/Almaty],34.700245000000002448814484523609,0.2278495458252392,0.36666411270293553,0.0366926563967105,-0.04233952593351776,-0.023097847253273438,-0.08355701804862656,-0.032237823814078345,0.01158661080399387,-0.14359947069004408,-0.15688961631183226,0.09163653964843836,0.21126453963367145,-0.2240000397924825,-0.20979480390956437,-0.5995817813806988,-5.3728068291663105,-0.054294252186426202912693482434386,-0.8205155789330656,35.415160082316106
1997-10-02T00:00+07:00[Asia/Almaty],33.775452000000001362423063255847,-0.043476460909061765,-0.3999951601663394,-0.24007736940623906,-0.3035688236169039,-0.25176168352472855,-0.33301029238842134,-0.27060231913478683,-0.2383983161258915,-0.2591252807358882,-0.40987903590228625,-0.12916925822898304,-0.475172252849806,-0.23622085561827194,-0.27442084887424406,-0.7863014413480556,-8.596236401960859,-0.078526401229108993802061118478256,-0.5848920505153146,35.38380684270953
1997-10-03T00:00+07:00[Asia/Almaty],33.453761999999997556187736336142,0.06206616443652013,-0.25000243775087094,-0.3185132063772091,-0.3781466054090296,-0.29644340202275765,-0.40034453197839576,-0.3172800807183462,-0.3070245913400603,-0.14739489067306102,-0.4308074889956601,-0.1640340128433773,-1.3547623347152706,-0.21774465849432695,-0.34758836730669435,-0.9990162310120346,-7.5555793080756475,0.082444992802252482197774889477949,-0.2812830266771874,35.34358673812283
1997-10-06T00:00+07:00[Asia/Almaty],33.855849999999996668975654756650,0.042251518090190565,-3.5522427577205917E-6,-0.1880475604659167,-0.23661935029748898,-0.14736445887521732,-0.2563195815878924,-0.16459864168458194,-0.16573271494651487,0.10754618970330557,-0.21314596298356747,-0.015948492532796524,-0.45401110691430085,-0.15079461969371522,-0.3688768291291931,-1.0623218382183728,-4.966197812264795,0.099490903279433062808665686320955,-0.5489746015060943,32.24749654326923
1997-10-07T00:00+07:00[Asia/Almaty],34.619827000000000793988874647766,0.06206857753070727,0.47500042338902715,0.014517572064509713,-0.005807899084488221,0.06478464323767456,-0.027765809050275106,0.05405159659165703,0.05939494788673615,0.29793238616318696,0.07600608806863908,0.18134514750883218,0.3341103386632347,-0.019455479596548718,-0.32040806469805433,-0.9229419000234336,-2.159073467230995,0.13180720649047899586419521451359,-0.7108033051875966,32.24749654326923
1997-10-08T00:00+07:00[Asia/Almaty],34.901291000000000508407538291067,0.11999855421630778,0.6097572405711138,0.07296497045529575,0.09438127837559,0.12261438553088423,0.049170220129202254,0.11963892535430751,0.13401466807559953,0.23041665856577892,0.17836637578721423,0.22259055230421715,0.8039076335368875,0.0901624481306445,-0.25632961889362305,-0.7380707642115396,0.23094768474070612,0.13772126674292378900317784283259,-0.9533412994208685,32.37938199232187
1997-10-09T00:00+07:00[Asia/Almaty],34.660034000000003118202585028484,0.1666651122834626,0.46341387867152994,0.0096667293132696,0.05086422503886793,0.04557484510656135,-0.01860574564375757,0.050270213459464724,0.06345699803415422,0.02019445562340111,0.1107584406330564,0.1351536101614665,0.3693633667507992,0.15151514499010552,-0.22245014575461117,-0.6406139973940468,1.8911939519610386,0.17009276475519530504099746727699,-0.8991671972040531,35.544632769585256
1997-10-10T00:00+07:00[Asia/Almaty],34.941504999999999370174919022247,0.16666611975471812,0.6341505305292487,0.09493843114847571,0.14472978592254443,0.1064145358855284,0.05749911923942552,0.11655190508705807,0.13379633636631674,-0.0017031554540894178,0.16977336837666257,0.18070152081238836,0.5689930388058533,0.10091872483534631,-0.17091782753168636,-0.49198302552587064,5.0786118961427595,0.20384685150571188331828952481143,-0.97185904406142,32.24749654326923
