timestamp,close,rsi,williamsR,sma14,ema12,wma10,hma14,tripleEma12,cci20,cmo10,macd,ppo,roc14,cmfi20,psi
2002-01-02T00:00+06:00[Asia/Almaty],10073.400391,0,-0.44761637664310360772697752106040,10073.400391,10073.400391,10073.400391,10073.4003910,10073.400391,0,NaN,0.000000,0,0,0.99104767246713792784546044957880,NaN
2002-01-03T00:00+06:00[Asia/Almaty],10172.139648,100,-0.78474313564183286620913769342483,10122.7700195,10088.59104592307692345668945,10139.226562333333333333333333333,10117.284505222222222222222222222,10112.320826394629040415165004347,66.666666666666666666666666666667,100,7.87663588603988682192346,0.078135691238285438912009695374113,0.98019787924063664868972445870488,0.97859430217628493907218179238945,10051.950195
2002-01-04T00:00+06:00[Asia/Almaty],10259.740234,100,-6.8769453613992116044048854859147,10168.426757666666666666666666667,10114.921690242603551275464873373,10199.483398166666666666666666667,10158.383951694444444444444444445,10174.459375590735620353890743623,100.00000000000000000000000000047,100,20.946108060161851417083054333,0.20751098404810134451930996065329,1.8498206739253992192476130476486,0.83915177355180342155873730972246,10051.95019500
2002-01-07T00:00+06:00[Asia/Almaty],10197.049805,72.644723644815602014028481897763,-28.289348484806412341729128882126,10175.5825195,10127.556784820664543702809180383,10198.5099609,10188.953873561111111111111111111,10193.356332843094269487716109183,61.906410647733452355899026493842,49.652362745682581112066568356798,25.946075022107414624239514973,0.25685087029675114446527676405322,1.2274843568262569222837913104848,0.43738255011760100623122517591274,10061.2189840800
2002-01-08T00:00+06:00[Asia/Almaty],10150.549805,59.617514955894193544571589529988,-41.048293468334422297854931047972,10170.5759766,10131.094172540562306298503999475,10182.523242266666666666666666667,10190.678841127777777777777777778,10187.252683058036687218023421346,3.4145060628180139152571131876869,26.105418398559183811802535071602,25.858344578935335128839511953,0.25589056029137064971537274537298,0.76587260513270706942159904859876,0.30336218671473248727620491753521,10075.554868495200
2002-01-09T00:00+06:00[Asia/Almaty],10094.089844,48.293334281206594323810524491977,-56.540111450509413363026425701250,10157.828287833333333333333333333,10125.401198918937335956409812861,10157.256557047619047619047619048,10172.554352762698412698412698413,10159.369221599170622475085556988,-13.443741992766723611828442510728,5.8778486049639905775453718342236,20.990999398912362605755352719,0.20774096641394732138509484049164,0.20538698152497570073009123181193,0.11401954016228774019656957369901,10300.150391
2002-01-10T00:00+06:00[Asia/Almaty],10067.860352,44.102238879354018235258948224613,-63.737114576829586888190341376576,10144.975725571428571428571428571,10116.548760931408514818728122733,10134.907505785714285714285714286,10150.293145619841269841269841270,10128.148350882047295387375438334,-87.750245908292761397915726304770,-1.4647673386151396519576021583750,14.845957523977983789585725298,0.14696490099639693303130778997384,-0.054996711983668435124748532394556,0.10279510177716142172488184246046,10295.53638708
2002-01-11T00:00+06:00[Asia/Almaty],9987.530273,34.288019628235138682336676639870,-85.778556694753430726649959052293,10125.295044,10096.699762788114896658083457961,10102.157009611111111111111111111,10115.646232607142857142857142858,10073.679090981765329393751422010,-104.79729751906991448564980775675,-18.726453975324346665733173009927,3.454183855308848943730188306,0.034222726756184523689945047674081,-0.85244420619595324094965779068475,-0.015118159536302659446200383123643,10285.0041503568
2002-01-14T00:00+06:00[Asia/Almaty],9891.419922,26.647426899770868166401078197237,-99.476638799870113200210883514993,10099.308919333333333333333333333,10065.118248820712604074994307551,10060.009592088888888888888888889,10057.348861823280423280423280424,9996.943546706153916032517748489,-144.56130959420667457023807032725,-32.809363960892413481548895467352,-13.177281450404107593881766671,-0.13074910743413797187261014773568,-1.8065445821312633655643600040041,-0.12251247871188914653436528501565,10267.018901335392
2002-01-15T00:00+06:00[Asia/Almaty],9924.150391,32.189217986324778056544522373275,-86.528275015872587980321877772925,10081.7930665,10043.430886079064510598195730156,10035.307919163636363636363636364,9993.758185917652717652717652718,9955.885318624157830230423885520,-114.79678811574948219085194172544,-25.408985758683134853715336116771,-23.446485727525037871354905969,-0.23290723490076009645489849143591,-1.4816248159196196890254235502471,-0.11257690264156640839270968246615,10236.79895170856064
2002-01-16T00:00+06:00[Asia/Almaty],9712.269531,21.084252929330565586765057915577,-99.801388600821855797145856263374,10048.200017818181818181818181818,9992.4829852976699692324680982894,9968.1218218,9904.6545296838864838864838864838,9844.6084447115692026588217710642,-165.78588389648439350188165270661,-45.182502720189627082954957517288,-48.1271390417647993136662865936,-0.47932484625709986517139449066840,-3.5849945994666261250967086671022,-0.20381923585884581805249856486358,10199.6800917377045760
2002-01-17T00:00+06:00[Asia/Almaty],9850.040039,36.439115069455274635931480830718,-76.412826492096907189913551460152,10031.68668625,9970.5686858672592041873078281769,9932.5509233454545454545454545455,9836.0483339037684537684537684537,9821.7220112748800689519394261787,-124.48261133550191866580703422293,-38.422826927792380398234058010082,-55.9251358544396563540280610611,-0.55777360310422526730268568926140,-2.2173282439915675540827413141192,-0.10693339423790627894617972881884,10141.050433809180026880
2002-01-18T00:00+06:00[Asia/Almaty],9771.849609,32.566252705613318820575917706634,-89.686797495839671086286750740618,10011.699218769230769230769230769,9939.9965201953731720095717128141,9888.6199396,9776.5378435975413475413475413475,9777.5993557118184546144877307923,-117.51025839251867156500259426049,-58.860537222881808427916930355339,-67.6347672506442924920675697909,-0.67583192573739316733683183168567,-2.9935351549156942470232046194857,-0.12130630407230770539525950033069,10089.45633483207842365440
2002-01-22T00:00+06:00[Asia/Almaty],9713.799805,30.015644491238594453167073367143,-97.145450516343914187306891199282,9990.4206892142857142857142857143,9905.1970255499311446765733139374,9843.0051846727272727272727272727,9723.238848905982905982905982906,9726.3583041865048180529723868732,-112.42531106834722518746500584220,-58.628917730172587495012477701691,-80.6689669000850273553690984399,-0.80783145859433895704669144333212,-3.5698033637309036453646906369653,-0.16545891918962989111051241831116,10044.0535277322290128158720
2002-01-23T00:00+06:00[Asia/Almaty],9730.959961,31.718141876553859374229951025813,-91.858152457321532138084070908036,9965.9606585,9878.3913233114801986715733250627,9809.2968217454545454545454545455,9686.4542995607448107448107448105,9699.9709381387944725409547433321,-107.64532918228047809886631788802,-52.784432231130558572066539532276,-88.5927408829792209150275552682,-0.88886207013454641851947151920444,-3.3994521880213427922702333097404,-0.14762948725265601874884038030847,9995.405877669716951021649920
2002-01-24T00:00+06:00[Asia/Almaty],9796.070313,37.891869149041065628953905294529,-81.350392092190533827571424969110,9939.0985631428571428571428571429,9865.7265524943293985593273892397,9795.0556108909090909090909090909,9681.5524515492063492063492063492,9710.4291298408606740036503435607,-73.160966024336793201908271933120,-37.087287003702528423486003361921,-88.5972338338737684208775974145,-0.89003769352527907136142316997483,-3.6970524197821158343578414860551,-0.13717062335806177421203515556278,9945.02249980256223885818593280
